Nome,Quantidade,Componente
"D1",1,"Vermelho LED"
"D2",1,"Laranja LED"
"D3",1,"Azul LED"
"U1",1," Arduino Uno R3"
"R1, R2, R3",3,"200 Ω Resistor"
