Nome,Quantidade,Componente
"R1, R2, R3, R4, R5, R6, R7",7,"200 Ω Resistor"
"DDÓ",1,"Vermelho LED"
"U1",1," Arduino Uno R3"
"D1, D5",2,"Azul LED"
"D2",1,"Verde LED"
"D3",1,"Amarelo LED"
"D4",1,"Branco LED"
"D6",1,"Laranja LED"
