Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"DVM",1,"Vermelho LED"
"R2, R3, R4",3,"120 Ω Resistor"
"DYL",1,"Amarelo LED"
"DVD",1,"Verde LED"
